+--------------> Moar: Good/Bad [119/14]
!GS.......... Four_is_the_number_of_letters_in_the_...
!GS.....F.... Fractal_tree
!GS...c...... Fraction_reduction
!GS.......... Fractran
.........D.VU Free_polyominoes_enumeration
!GS......D... French_Republican_calendar
!GS..T....... Function_composition
!GS.......... Function_definition
!GS..T....... Function_frequency
..........XV. Function_prototype
!GS..T....... Functional_coverage_tree-1
GG.K.T....... Functional_coverage_tree-2
!GS.......... Fusc_sequence
GB.KI........ GUI_Maximum_window_dimensions
GB.KI........ GUI_component_interaction
GB.KI........ GUI_enabling_disabling_of_controls
!GS....RF.... Galton_box_animation
!GS.......... Gamma_function
!GS.......... Gapful_numbers
!GS..T...D... Gauss-Jordan_matrix_inversion
!GS.......... Gaussian_elimination
!GS.......... General_FizzBuzz
!GS..T...D... Generalised_floating_point_addition
.........DXVU Generalised_floating_point_multiplication
!GS..T.R..... Generate_Chess960_starting_position
!GS.......... Generate_lower_case_ASCII_alphabet
!GS....R..... Generate_random_chess_position
!GS..T....... Generator_Exponential
!GS.......... Generic_swap
!GS....R.D... Geometric_algebra
!BS.......... Get_system_command_output
!GS.....F.... Globally_replace_text_in_several_files
GG.KIT.R..... Go_Fish
!GS......D... Gradient_descent
!GS....R..... Graph_colouring
!GS.......... Gray_code
!GS..T..F.... Grayscale_image
!GS..T....... Greatest_common_divisor
!GS....R..... Greatest_element_of_a_list
!GS.......... Greatest_subsequential_sum
.........D.VU Greed
!GS..T..F.... Greyscale_bars_Display
!GS....R..... Guess_the_number
GG.K...R..... Guess_the_number_With_feedback
!GS....R..... Guess_the_number_With_feedback_player
!GS..T....... HTTP
!GS.......... HTTPS
GG.K......... HTTPS_Authenticated
!BS.......... HTTPS_Client-authenticated
!GS..TC...... Hailstone_sequence
!GS..T....... Hamming_numbers-1
!GS.......... Hamming_numbers-2
GG.KI........ Handle_a_signal
!BS.......... Happy_numbers-1
!GS.......... Happy_numbers-2
!GS.......... Harshad_or_Niven_series
!GS.......... Hash_from_two_arrays
!GS.......... Hash_join
!GS.......... Haversine_formula
GB.KI........ Hello_world_Graphical
GG.K......... Hello_world_Line_printer
!GS.......... Hello_world_Newbie
!GS.......... Hello_world_Newline_omission
!GS.......... Hello_world_Standard_error
!GS.......... Hello_world_Text
GG.KI........ Hello_world_Web_server
!GS..T....... Here_document
!GS..TC...... Heronian_triangles
.........D.VU Hexapawn
!GS.......... Hickerson_series_of_almost_integers
!GS.......... Higher-order_functions
!GS.....F.... Hilbert_curve-1
!GS.....F.... Hilbert_curve-2
!GS.......... History_variables
!GS..Tc...... Hofstadter-Conway__10,000_sequence
!GS.......... Hofstadter_Figure-Figure_sequences
!GS..T....... Hofstadter_Q_sequence
!GS.......... Holidays_related_to_Easter
...........VU Honeycombs
!GS.......... Horizontal_sundial_calculations
!GS.......... Horner%27s_rule_for_polynomial_evaluation
!BS..T....... Host_introspection
!GS.......... Hostname
!BS..Tc.F.... Hough_transform
!GS.......... Huffman_coding
!GS.......... Humble_numbers
GG.KI........ Hunt_The_Wumpus
.........D.VU I%27m_a_software_engineer,_get_me_out_of_here
!GS..T...D... I.Q._Puzzle
!GS.......... IBAN
.........D.VU IPC_via_named_pipe
.........D.VU IRC_gateway
!GS......D... ISBN13_check_digit
!GS.......... ISBN13_check_digit-2
!GS.......... I_before_E_except_after_C-1
!BS.......... I_before_E_except_after_C-2
!GS.......... Identity_matrix
!BS.......... Idiomatically_determine_all_the_characters_that_can_be_used_for_symbols
!GS.......... Idiomatically_determine_all_the_lowercase_and_uppercase_letters
!BS..T..F.... Image_convolution
GB.KI........ Image_noise
!GS.......... Imaginary_base_numbers
!BS.......... Imaginary_base_numbers-2
!GS......D... Implicit_type_conversion
GG.K......... Include_a_file
!GS.......... Increasing_gaps_between_consecutive_Niven_numbers
!GS.......... Increment_a_numerical_string
!GS..T.R..... Index_finite_lists_of_positive_integers-1
!GS....R..... Index_finite_lists_of_positive_integers-2
!GS..T....... Infinity
!GS.......... Inheritance_Multiple
!GS.......... Inheritance_Single
!GS......D... Input_Output_for_Lines_of_Text
!GS......D... Input_Output_for_Pairs_of_Numbers
GG.K......... Input_loop
!GS.......... Integer_comparison
!GS.......... Integer_overflow
!GS..T...D... Integer_roots
GG.KI........ Integer_sequence
GG.K.....D... Interactive_Help
BB.K......X.. Interactive_programming
!BS.......... Intersecting_Number_Wheels
!GS..T....... Introspection
!GS..T....... Inverted_index
GG.K......... Inverted_syntax
GG.K..c...... Iterated_digits_squaring
!GS.......... Iterated_digits_squaring-1
!GS.......... JSON
!GS.......... Jacobi_symbol
!GS.......... Jaro_distance
!GS.......... Jensen%27s_Device
!GS..T....... Jewels_and_Stones
..........XV. JortSort
!GS..T....... Josephus_problem
BB.K......... Joystick_position
!BS...C.F.... Julia_set
!GS....R..... Jump_anywhere
!GS......D... Just_in_time_processing_on_a_character_stream
!GS....R..... K-d_tree
!GS....R..... K-means%2B%2B_clustering
!GS......D... Kahan_summation
!GS.......... Kaprekar_numbers-1
!GS..TC...... Kaprekar_numbers-2
!BS.......... Kaprekar_numbers-3
!GS.......... Kernighans_large_earthquake_problem
GB.KI........ Keyboard_input_Flush_the_keyboard_buffer
GB.KI........ Keyboard_input_Keypress_check
GG.KI........ Keyboard_input_Obtain_a_Y_or_N_response
GG.KI........ Keyboard_macros
!GS.......... Knapsack_problem_0_1-1
!GS.......... Knapsack_problem_0_1-2
!GS.......... Knapsack_problem_Bounded-1
!GS..T....... Knapsack_problem_Bounded-2
!BS.......... Knapsack_problem_Continuous
!GS..T....... Knapsack_problem_Unbounded
!GS....R..... Knight%27s_tour
!GS....R..... Knuth%27s_algorithm_S
!GS....R..... Knuth%27s_power_tree
!GS....R..... Knuth_shuffle
!GS.....F.... Koch_curve-1
!GS.....F.... Koch_curve-2
!GS.......... Kolakoski_sequence
!GS.......... Kosaraju
!GS.......... Kronecker_product
!BS..TC.F.... Kronecker_product_based_fractals
!GS.....F.... LU_decomposition
!GS.......... LZW_compression
!GS.......... Lah_numbers
!GS....R..... Langton%27s_ant
!GS.......... Largest_int_from_concatenated_ints
!BS..TC...... Largest_number_divisible_by_its_digits
!GS.......... Last_Friday_of_each_month
GG.K.T.R..... Last_letter-first_letter
!GS..T....... Latin_Squares_in_reduced_form
.........D.VU Latin_Squares_in_reduced_form_Randomizing_using_Jacobson_and_Matthews_Technique
GB.KI....D... Launch_rocket_with_countdown_and_acceleration_in_stdout
!BS..TC...... Law_of_cosines_-_triples-1
!GS..T....... Law_of_cosines_-_triples-2
